Model,River_Name,R2_Test,MSE_Test,MAPE_Test,R2_Train,MSE_Train,MAPE_Train,System,Selected_System,TopK_Features,Additional_Features_Used,ARIMA_Enabled,Num_Features_Used,Feature_Names
LR,Raft,-20.010837800973878,3432942003.7545424,896.5741415164249,-10.566381446024463,8845967949.109459,118.34019351802584,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Stellako,0.27064975912507916,100147801685.8586,91.199418381506,-0.04313073135474488,108749503813.21826,56.82396664191137,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Chilko,-4.925770990934141,3656930006757.022,115.64172487122642,0.15787340993471988,1115475415425.8953,71.90199671833706,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Late Stuart,0.1078947642661573,17603425986.25625,155.56545254218744,0.8360190390936286,152657140278.85477,165.27949595941047,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Quesnel,0.731302112535709,186920342262.17575,1238.2245239485612,0.8911419591397759,780154000964.5576,409.58729955424394,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Raft,-7.618622130880581,1408188964.5646126,479.2866760956405,-0.6920567748964106,1294084936.4735286,194.686158382537,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Stellako,0.875610329724637,17080068439.495789,92.89607322043277,0.14217165899016737,89431174480.47864,79.55446852561414,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Chilko,-1.4855411649858792,1533884803036.2039,136.96917616732605,0.8558813920382409,190898572712.54556,30.71129822766065,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Late Stuart,-0.5680386594014284,30941251523.600246,160.31593205804086,0.9628700136207079,34565949046.315956,66.47589453432946,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Quesnel,0.8377442610125201,112873601470.24821,515.4975862937272,0.9606998289492545,281652925604.2628,60.12269369483639,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Raft,-1.231117647931554,364540317.7852933,263.64169632821967,0.3225548390117575,518110025.1056527,55.25944335196248,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Stellako,0.5850519275930373,56976929513.98974,114.83566826058554,0.8610008000142645,14491083020.103634,28.155996652439192,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Chilko,-1.5841476628514286,1594737148065.6404,109.67865490319542,0.8051020901418624,258160506424.3275,46.37019546655093,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Late Stuart,-0.21994612077001707,24072531338.222637,201.9534374312234,0.9211892441984901,73368423610.73267,285.6387129103025,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Quesnel,0.7402011521686461,180729703587.3021,1161.4833250046586,0.9721689888220031,199456783806.01108,1921.7460615731916,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Raft,-39.0715429923933,6547253583.932132,932.5574756691443,-3.5930287643097785,3512748168.3035088,576.7447201470272,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Stellako,0.7549379309757387,33649714655.50909,91.81223733885948,0.5315192854832879,48840517989.13829,54.5986332963449,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Chilko,-2.60546143572614,2225013442585.5864,110.68210734852748,0.8695844225423115,172747627445.59122,38.09150716015661,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Late Stuart,-0.18192265441639344,23322235017.91653,159.32916608485604,0.9407217190145432,55184777585.57064,219.9269606157107,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Quesnel,0.7406952766392649,180385964691.40012,869.3895205775453,0.9810585394467853,135747953186.82074,1026.5318313525747,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Raft,-15.436998301960504,2685626457.2099466,478.1093177910966,-1.3421599149731982,1791283785.35909,328.0179208556708,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Stellako,0.744488493603317,35084537218.18725,94.42968503126149,0.5423832902515273,47707912945.05519,54.5708468588893,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Chilko,-0.10888532194155376,684318718030.8563,89.02761783615009,-0.05818890907949403,1401670160851.9717,71.48173076627732,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Late Stuart,0.4646990729533309,10562801194.512619,82.53989018527454,0.6802453094959637,297673805381.3896,98.89227077259575,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Quesnel,0.5912226495931661,284366963090.56464,436.7220037974393,0.7754498960416992,1609285456873.277,94.25953378443687,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Raft,-0.8874027435797538,308381046.85840636,191.6096624394235,-10.566381446024463,8845967949.109459,118.34019351802584,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Stellako,0.28865686481454933,97675228224.63365,72.40688816214819,-0.04313073135474488,108749503813.21826,56.82396664191137,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Chilko,-4.927663114155523,3658097679654.8335,115.66301349527232,0.15787340993471988,1115475415425.8953,71.90199671833706,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Late Stuart,0.1078947642662017,17603425986.255375,155.56545254212665,0.8360190390936286,152657140278.85477,165.27949595941047,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Quesnel,0.7313021125357022,186920342262.18045,1238.2245239481895,0.8911419591397759,780154000964.5576,409.58729955424394,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Raft,-7.61862213087076,1408188964.5630078,479.28667609525337,-0.6920567748964106,1294084936.4735286,194.686158382537,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
PR,Stellako,0.8756103297246642,17080068439.492064,92.89607322041891,0.14217165899016737,89431174480.47864,79.55446852561414,Fraser River,Fraser River,6,True,False,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Chilko,0.0375714958809259,1305322362820.8032,134.04894106554417,0.8669297006336997,148353738365.6575,32.192706778352466,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Late Stuart,-11.705784883884974,234437375197.58826,895.2866378925174,0.9317217792478731,61440751791.15252,265.2809986558252,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Quesnel,0.666777693786136,216547125324.08002,864.9131877897144,0.9071173254199052,632303566468.6815,441.6773879650342,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Raft,-45.69370590551196,7213092666.311659,420.3912730804095,-22.38021303666862,17286202319.272125,173.9778637653433,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Stellako,0.5188577087055632,62312381885.366646,88.55925076202118,0.8437167581715589,16298930423.999228,28.929207853097765,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Chilko,-0.1342460732626456,1538355065373.496,146.2003410196553,0.9763885739928057,26323254197.16066,18.703064751109526,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Late Stuart,-9.887009272577183,200878725788.27972,628.5043877636815,0.9690833322108777,27820632859.443825,475.01225637489017,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Quesnel,0.4856307297670909,334266898544.58215,521.2951368943438,0.9989280440677476,7297394935.327311,911.0727062234478,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Raft,-321.0063631768981,49742501514.80895,833.0131952886544,-0.570330124353726,1161026385.6472576,123.0928131564938,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Stellako,-1.4012894903896531,310989223873.71454,84.98891917648156,0.8106118804449187,19751470136.182976,39.39554446688068,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Chilko,0.029454550075792785,1316331212654.2178,96.31994884140732,0.8968015886387505,115050993285.09882,35.50089819822201,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Late Stuart,-6.913806294050436,146019470056.70187,634.5532099060981,0.8497067897088927,135242654651.39215,880.319562043843,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Quesnel,0.7141151462692672,185784511104.58572,333.4238590524109,0.9901038750380233,67368377751.45792,1300.956300135588,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Raft,-24.58283347979167,3951953373.11564,602.5179497823561,-1.2785729038179845,1684666951.1879404,224.5962492543067,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Stellako,0.08561628829695489,118421157450.34688,260.2155001823763,0.42959057506955434,59488550540.43819,55.02926422731286,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
LR,Chilko,0.09867713006633294,1222446024001.6748,104.25393061898897,0.08964882469105151,1014907163550.3859,75.97189558102099,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
LR,Late Stuart,-3.555160191325643,84048314104.02425,867.3144574668264,0.190902056587404,728073833329.8872,1441.1713898279106,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
LR,Quesnel,-0.020001258993463944,662855806298.3218,6767.787794546194,0.41146003903140904,4006515940805.2725,16700.49061635257,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
LR,Raft,-35.13743759212599,5582394479.515692,794.0486975984971,-129.49877148934578,96484500070.35173,588.2448448703568,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
LR,Stellako,0.4010835875456866,77565221111.33417,236.43999453413804,0.05745637177274021,98298786474.64922,98.02383633894458,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
PR,Chilko,0.11394001069466497,1201745286939.1726,93.4087396235895,0.4030999063521866,665455482892.5997,71.18348693372039,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
PR,Late Stuart,-2.8339807788971845,70741665987.33028,579.2560573503151,0.7099942910396742,260964163769.5071,982.1243828085663,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
PR,Quesnel,0.11148625423303216,577407616083.4224,3291.1567445787787,0.631675391905113,2507388642386.128,7995.914759368158,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
PR,Raft,-175.4129070900773,27251695313.049603,2243.307577322694,-87.52211249328265,65448982175.15497,1357.3795022800657,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
PR,Stellako,-4.524267937449579,715443850153.6586,139.98652159266157,0.25823879109240144,77358993797.16046,61.25027170051847,Fraser River,Fraser River,6,False,True,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Chilko,0.037717867670629346,1305123841715.5278,133.87261652717336,0.8669297006336997,148353738365.6575,32.192706778352466,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Late Stuart,-11.677649316472364,233918239336.7039,893.2567229177737,0.9317217792478731,61440751791.15252,265.2809986558252,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Quesnel,0.6663933213559464,216796912758.05203,854.0433706602047,0.9071173254199052,632303566468.6815,441.6773879650342,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Raft,-45.37924613253234,7164515937.642505,417.1906053349,-22.38021303666862,17286202319.272125,173.9778637653433,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
RF,Stellako,0.5203048192278312,62124967673.13581,88.48880693279875,0.8437167581715589,16298930423.999228,28.929207853097765,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Chilko,-0.13343696742513567,1537257691450.0615,146.19686898659288,0.9763885739928057,26323254197.16066,18.703064751109526,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Late Stuart,-9.8870092731076,200878725798.06656,628.504387806888,0.9690833322108777,27820632859.443825,475.01225637489017,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Quesnel,0.4856307297821745,334266898534.78,521.2951371221478,0.9989280440677476,7297394935.327311,911.0727062234478,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Raft,-321.00636319630325,49742501517.8066,833.013195389586,-0.570330124353726,1161026385.6472576,123.0928131564938,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
GBRT,Stellako,-1.4012894904430535,310989223880.6303,84.98891918693239,0.8106118804449187,19751470136.182976,39.39554446688068,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Chilko,0.02875703213048486,1317277242170.7817,96.18322912590523,0.8968015886387505,115050993285.09882,35.50089819822201,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Late Stuart,-6.897120276028444,145711592479.41525,632.950799001919,0.8497067897088927,135242654651.39215,880.319562043843,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Quesnel,0.7138067307361852,185984937354.1158,325.2514067326965,0.9901038750380233,67368377751.45792,1300.956300135588,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Raft,-24.380568380997765,3920708114.842214,598.1753845848102,-1.2785729038179845,1684666951.1879404,224.5962492543067,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
XGB,Stellako,0.08724277806514036,118210511964.798,259.80163543569165,0.42959057506955434,59488550540.43819,55.02926422731286,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
LR,Chilko,0.10462368281352519,1214380834484.342,104.22831426140901,0.08964882469105151,1014907163550.3859,75.97189558102099,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
LR,Late Stuart,-3.555160191325651,84048314104.02441,867.3144574668273,0.190902056587404,728073833329.8872,1441.1713898279106,Fraser River,Fraser River,6,False,False,6,"Total_Returns, AgeClass_0.2, AgeClass_1.1, River_Chilko, River_Quesnel, River_Raft"
